"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-11-30,"Daphne, AL","AL",219,1380.79,-0.0073,0.0071,0.029,94893
2019-11-30,"Gainesville, GA","GA",220,1255.45,-0.0101,-0.0012,0.0062,70337
2019-11-30,"Warner Robins, GA","GA",221,950.21,-0.0043,0.0183,0.0373,67950
2019-11-30,"Blacksburg, VA","VA",222,1301.27,0.0149,0.0375,0.1076,36971
2019-11-30,"Jacksonville, NC","NC",223,1003.16,0.014,0.032,0.062,74846
2019-11-30,"Redding, CA","CA",224,1378.58,-0.008,-0.0333,0.044,52632
2019-11-30,"Monroe, LA","LA",225,904.32,-0.0125,-0.029,-0.0794,31691
2019-11-30,"Joplin, MO","MO",226,866.49,0.0094,0.0336,0.0557,65857
2019-11-30,"Terre Haute, IN","IN",227,798.05,0.0042,0.0383,-0.0001,59463
2019-11-30,"Muskegon, MI","MI",228,852.42,0.0036,0.0245,0.0217,54296
2019-11-30,"East Stroudsburg, PA","PA",229,1303.7,-0.0029,0.0087,0.0313,91925
2019-11-30,"Sioux City, IA","IA",230,932.77,-0.0187,-0.0311,0.0342,57497
2019-11-30,"Greenville, NC","NC",231,943.62,-0.003,-0.0029,0.03,54360
2019-11-30,"Waterloo, IA","IA",232,912.34,0.0087,0.0086,0.0036,66342
2019-11-30,"Oshkosh, WI","WI",233,925.9,0.0131,0.0569,0.0881,33931
2019-11-30,"Yuba City, CA","CA",234,1486.61,0.0136,0.0193,0.0917,47513
2019-11-30,"Abilene, TX","TX",235,986.21,0.0005,0.0023,-0.0064,56709
2019-11-30,"Columbia, MO","MO",236,929.24,-0.0041,0.0093,0.0057,57418
2019-11-30,"Dover, DE","DE",237,1267.62,0.0015,0.0121,0.0041,60708
2019-11-30,"Eau Claire, WI","WI",238,1033.6,0.0033,0.0095,0.0147,26426
2019-11-30,"Janesville, WI","WI",239,918.86,0.0218,0.0004,-0.003,25946
2019-11-30,"Jackson, MI","MI",240,867.34,-0.003,0.0037,0.0094,16967
2019-11-30,"Punta Gorda, FL","FL",241,1549.43,0.0113,0.019,-0.023,103024
2019-11-30,"Bloomington, IN","IN",242,1279.73,0.0267,0.032,0.0425,52032
2019-11-30,"Pueblo, CO","CO",243,1095.06,0.006,0.0179,0.0052,59914
2019-11-30,"Billings, MT","MT",244,1159.44,0.001,0.0038,-0.0148,58912
2019-11-30,"Bowling Green, KY","KY",245,988.12,-0.0128,-0.0168,-0.0172,46741
2019-11-30,"Bend, OR","OR",246,1817.62,0.0167,0.0467,0.0649,91158
2019-11-30,"Albany, GA","GA",247,752.74,-0.0055,0.0097,0.0064,50553
2019-11-30,"Vineland, NJ","NJ",248,1226.96,0.0002,0.0058,0.0128,45259
2019-11-30,"Niles, MI","MI",249,1203.25,-0.0204,0.0068,0.0447,53620
2019-11-30,"Kahului, HI","HI",250,2658.03,-0.0027,-0.056,-0.0509,63012
2019-11-30,"Ottawa, IL","IL",251,964.02,0.0045,0.0164,0.0308,37035
2019-11-30,"Bangor, ME","ME",252,1201.55,-0.0107,-0.0441,0.02,33937
2019-11-30,"Alexandria, LA","LA",253,920.16,0.0222,0.0472,0.0312,27671
2019-11-30,"Decatur, AL","AL",254,823.05,0.0066,0.0297,-0.0268,49532
2019-11-30,"Hanford, CA","CA",255,1281.67,0.0207,0.0336,0.0413,34340
2019-11-30,"Iowa City, IA","IA",256,1099.01,0.0017,0.0055,-0.0122,67082
2019-11-30,"Rocky Mount, NC","NC",257,697.05,-0.0245,0.0176,0.0011,47534
2019-11-30,"Wichita Falls, TX","TX",258,816.13,0.0046,0.0111,-0.0065,48093
2019-11-30,"Burlington, NC","NC",259,980.07,0.0114,0.0202,0.0193,53264
2019-11-30,"Madera, CA","CA",260,1343.52,0.0093,0.0349,0.0517,39985
2019-11-30,"Jefferson City, MO","MO",261,764.01,0.0046,0.0149,0.0034,53256
2019-11-30,"Chambersburg, PA","PA",262,931.73,-0.0002,-0.0172,-0.0396,41430
2019-11-30,"Texarkana, TX","TX",263,870.52,0.0202,0.041,0.0028,32962
2019-11-30,"Elizabethtown, KY","KY",264,826.03,-0.0032,-0.0006,-0.0086,43816
2019-11-30,"Pottsville, PA","PA",265,801.8,0.0002,0.0517,0.0521,58776
2019-11-30,"Wheeling, OH","OH",266,957.09,0.0123,-0.0258,-0.0418,52010
2019-11-30,"Florence, AL","AL",267,860.33,0.0183,0.0322,0.0149,53714
2019-11-30,"Grand Junction, CO","CO",268,1247.99,0.0089,0.0226,0.0443,58935
2019-11-30,"Concord, NH","NH",269,1500.38,-0.0285,0.0112,0.0261,55772
2019-11-30,"Dothan, AL","AL",270,875.34,0.002,0.0125,-0.0426,53691
2019-11-30,"Santa Fe, NM","NM",271,1912.32,0.0005,0.0236,0.0615,56643
2019-11-30,"Johnstown, PA","PA",272,644.5,0.0156,0.0236,-0.0062,34623
2019-11-30,"Traverse City, MI","MI",273,1368.66,0.0092,0.0218,-0.0033,52068
2019-11-30,"Hattiesburg, MS","MS",274,927.78,-0.0142,-0.0077,-0.0321,45910
2019-11-30,"Midland, TX","TX",275,1832.83,-0.0247,-0.0802,-0.0779,48762
2019-11-30,"Homosassa Springs, FL","FL",276,1155.31,0.0005,0.0228,0.0572,66271
2019-11-30,"Auburn, AL","AL",277,1158.38,0.0176,0.0304,0.0253,55934
2019-11-30,"Valdosta, GA","GA",278,895.15,0.004,0.0182,0.0199,43088
2019-11-30,"Coeur d'Alene, ID","ID",279,1544.02,0.0126,0.0651,0.0875,71150
2019-11-30,"Springfield, OH","OH",280,796.44,0.016,0.0578,0.0587,48986
2019-11-30,"St. George, UT","UT",281,1486.34,0.0044,0.0274,0.0027,73225
2019-11-30,"Vero Beach, FL","FL",282,1569.63,0.0039,0.0056,0.0289,78969
2019-11-30,"Napa, CA","CA",283,2902,-0.0029,0.01,0.0148,42429
2019-11-30,"Tupelo, MS","MS",284,953.41,-0.0015,0.0092,-0.0373,3760
2019-11-30,"Battle Creek, MI","MI",285,872.81,-0.0108,-0.0102,0.0122,4796
2019-11-30,"Jamestown, NY","NY",286,810.14,-0.0042,-0.0152,-0.0196,51656
2019-11-30,"Eureka, CA","CA",287,1501.14,0.0042,-0.0101,0.0261,14638
2019-11-30,"Rapid City, SD","SD",288,1071.47,0.01,0.0085,-0.0064,48801
2019-11-30,"Lumberton, NC","NC",289,785.55,0.0115,0.0336,0.0423,25636
2019-11-30,"Wausau, WI","WI",290,838.22,-0.0203,-0.038,0.0678,14976
2019-11-30,"La Crosse, WI","WI",291,1135.68,-0.009,-0.0033,-0.0728,23651
2019-11-30,"Lebanon, PA","PA",292,1058.56,-0.0119,0.0219,0.0399,48926
2019-11-30,"Idaho Falls, ID","ID",293,1098.13,0.0064,0.0496,0.082,48047
2019-11-30,"Sierra Vista, AZ","AZ",294,901.65,-0.0198,0.0253,0.028,40824
2019-11-30,"Pittsfield, MA","MA",295,1229.84,-0.014,-0.027,0.0008,55668
2019-11-30,"Lawton, OK","OK",296,736.6,0.0065,0.0158,-0.0216,43110
2019-11-30,"Farmington, NM","NM",297,979.21,-0.0007,-0.0023,-0.0335,28733
2019-11-30,"Jackson, TN","TN",298,901.69,0.0082,0.026,0.0208,46273
2019-11-30,"Morgantown, WV","WV",299,1160.11,0.0061,0.0432,0.0467,46339
2019-11-30,"Glens Falls, NY","NY",300,1229.58,-0.0181,-0.0124,-0.1447,55359
2019-11-30,"Winchester, VA","VA",301,1188.23,-0.0156,-0.001,-0.0092,54976
2019-11-30,"St. Joseph, MO","MO",302,786.55,-0.0259,0.0024,0.0086,45941
2019-11-30,"Altoona, PA","PA",303,759.32,0.0238,0.0621,0.0045,4339
